1948,8448,5,e
2258,4164,9,k
7886,893,23,e
4670,7218,23,s
7063,7109,7,g
1818,5802,7,e
5250,5740,53,x
1461,1717,9,w
3779,9058,35,p
8705,4428,12,w
6146,8926,38,u
3041,4262,53,y
5937,3467,37,b
6169,1858,8,u
7193,4727,30,k
2011,6408,7,w
6275,7253,8,w
9201,5841,21,b
8943,3575,15,s
6464,2040,34,b
1562,2123,44,x
1124,5306,8,w
371,2459,51,p
8709,900,20,u
2248,1732,17,i
299,7816,6,q
900,409,45,a
3364,4576,29,k
6631,8939,26,c
6915,161,47,h
4958,8550,12,z
8696,4849,53,r
5222,953,38,w
2444,1241,29,n
607,4744,53,x
4239,1267,53,r
6407,1207,8,a
5154,9190,12,b
7723,1306,42,u
4451,2703,2,b
723,6919,43,h
1879,7972,17,g
3922,4347,48,v
9820,9485,6,n
9078,7022,27,c
3619,1441,31,g
6296,3725,22,l
7932,3601,8,h
8630,6058,20,l
6035,6533,40,o
3824,7465,6,m
4064,1064,43,k
4930,1137,50,h
6701,1178,3,x
4648,1235,19,a
5374,4738,24,m
7040,3332,30,m
2791,7871,23,s
3263,3662,11,b
9246,7516,5,r
3439,578,32,l
9359,1276,26,j
8689,7292,15,g
3017,8013,15,f
8176,6267,19,j
6371,6431,6,g
5212,3602,32,y
1253,7201,54,y
6463,9492,4,s
3807,9426,14,t
4672,923,42,l
5897,9990,21,n
6217,2901,53,z
1275,369,45,u
3193,2461,40,c
9635,5922,53,e
8309,5925,28,e
1548,2280,20,m
6443,4719,12,m
5340,1027,39,q
2267,4690,24,b
4874,8209,39,m
3306,4061,5,f
6925,2095,5,f
1376,8523,53,c
722,5432,35,e
9364,6838,35,g
5428,8086,7,b
1242,7579,18,y
2701,5906,22,b
5500,2175,35,f
6311,6907,1,z
3124,5263,19,p
5697,8176,42,o
8005,7144,14,n
5870,8118,6,c
2384,9783,51,l
1273,2856,23,z
8009,7216,30,u
3507,1344,18,h
3333,7044,43,s
6324,4778,4,k
4352,194,30,m
577,3852,27,n
7114,3618,31,w
3850,1767,32,n
5926,4999,48,x
2783,337,44,m
7957,7216,32,k
7890,1621,3,o
5991,8655,41,q
6880,8830,33,b
2131,6718,20,i
1937,1275,32,a
3703,2404,17,j
7669,591,28,f
1901,1577,53,o
8338,3516,39,v
7809,3132,43,k
1367,6680,20,s
6258,8247,19,x
5189,7636,15,n
8290,4198,32,c
9526,4063,11,v
3040,746,4,g
8842,9747,6,k
1697,6443,3,y
8679,2297,36,b
3654,4680,7,z
2101,2991,9,l
1321,887,53,e
6649,796,39,v
9084,4505,14,l
7371,250,7,x
6960,8329,7,w
6778,5333,34,v
1304,9842,16,k
9042,8976,38,v
